# Directed graph (each unordered pair of nodes is saved once): facebook_combined.txt

# Information about the newly-created network is:
Name: 
Type: Graph
(357, 0.7712418300653595) 
(352, 0.7707509881422925) 
(2323, 0.7703116555575572) 
(28, 0.7692307692307693) 
(1055, 0.7692307692307693) 
(2205, 0.7692307692307693) 
(3644, 0.7692307692307693) 
(2624, 0.7690294686539993) 
(2575, 0.7688956433637285) 
(988, 0.7682926829268293) 
(2073, 0.7672746497488766) 
(2551, 0.7666693541885028) 
(1216, 0.7666666666666667) 
(2200, 0.7660975937626024) 
(2601, 0.7660818713450293) 
(2794, 0.7660818713450293) 
(3862, 0.7660818713450293) 
(2220, 0.7654771345492994) 
(2660, 0.7652916073968705) 
(605, 0.7647058823529411) 
(685, 0.7647058823529411) 
(2170, 0.7647058823529411) 
(2486, 0.7647058823529411) 
(2519, 0.7647058823529411) 
(3450, 0.7647058823529411) 
(2717, 0.7638015373864431) 
(177, 0.7636363636363637) 
(522, 0.7636363636363637) 
(1218, 0.7636363636363637) 
(3012, 0.7636363636363637) 
(1314, 0.7630769230769231) 
(1946, 0.76268944612841) 
(2060, 0.7626235399820306) 
(981, 0.7622571692876966) 
(126, 0.7619047619047619) 
(300, 0.7619047619047619) 
(633, 0.7619047619047619) 
(881, 0.7619047619047619) 
(984, 0.7619047619047619) 
(985, 0.7619047619047619) 
(2687, 0.7619047619047619) 
(3333, 0.7619047619047619) 
(3834, 0.7619047619047619) 
(1190, 0.7611336032388664) 
(898, 0.7610241820768137) 
(2564, 0.7602685174650131) 
(2103, 0.7600974103112378) 
(2636, 0.7596017069701281) 
(1917, 0.7593984962406015) 
(1451, 0.7591397849462366) 
(2295, 0.758893280632411) 
(1756, 0.7583333333333333) 
(75, 0.7582417582417582) 
(2184, 0.7582098227259517) 
(2340, 0.7580372250423012) 
(180, 0.7578947368421053) 
(3618, 0.7578947368421053) 
(1979, 0.7577922077922078) 
(3832, 0.7575757575757576) 
(3713, 0.7569230769230769) 
(2191, 0.7567920585161965) 
(1266, 0.7564102564102564) 
(2255, 0.7555555555555555) 
(3416, 0.7554426705370102) 
(1932, 0.7554311310190369) 
(1245, 0.7551282051282051) 
(2604, 0.7549450549450549) 
(1773, 0.7549407114624506) 
(2337, 0.7546218487394958) 
(952, 0.7544463568559954) 
(969, 0.7540322580645161) 
(3835, 0.7538461538461538) 
(2331, 0.7538290169869117) 
(1943, 0.7536540139616056) 
(3943, 0.7533333333333333) 
(2536, 0.7526881720430108) 
(302, 0.7526315789473684) 
(2918, 0.7526315789473684) 
(970, 0.7523809523809524) 
(2096, 0.7523809523809524) 
(2584, 0.7523809523809524) 
(276, 0.7516339869281046) 
(2069, 0.7510692899914457) 
(2278, 0.7509135605607601) 
(2188, 0.7503338496875167) 
(2376, 0.7501726194212541) 
(2150, 0.75010907504363) 
(710, 0.75) 
(761, 0.75) 
(821, 0.75) 
(2281, 0.75) 
(2454, 0.75) 
(2487, 0.75) 
(2514, 0.75) 
(3235, 0.75) 
(3439, 0.75) 
(3452, 0.75) 
(3607, 0.75) 
(3712, 0.75) 
(3960, 0.75) 
(4019, 0.75) 
(511, 0.7494252873563219) 
(1081, 0.7494252873563219) 
(3021, 0.7493877551020408) 
(2151, 0.7493844049247605) 
(2464, 0.7493719521205852) 
(597, 0.7489177489177489) 
(838, 0.7489177489177489) 
(2400, 0.7485380116959064) 
(3725, 0.7485380116959064) 
(3743, 0.7485380116959064) 
(1279, 0.7484143763213531) 
(1406, 0.7483870967741936) 
(1533, 0.7478991596638656) 
(1389, 0.7478260869565218) 
(2462, 0.7478070175438597) 
(1351, 0.7476255088195387) 
(1089, 0.7472527472527473) 
(2088, 0.7471671024970518) 
(494, 0.7470355731225297) 
(2244, 0.7468844221105527) 
(1625, 0.7466666666666667) 
(2607, 0.7462860163891092) 
(2600, 0.7462206301985308) 
(2590, 0.7460375012949342) 
(222, 0.7454545454545455) 
(631, 0.7454545454545455) 
(974, 0.7454545454545455) 
(986, 0.7454545454545455) 
(3997, 0.7454545454545455) 
(2343, 0.7445634534242129) 
(1015, 0.7444444444444445) 
(2339, 0.744399247161678) 
(2334, 0.7443436555103743) 
(2040, 0.743813175322412) 
(934, 0.7431496537187594) 
(14, 0.7428571428571429) 
(1336, 0.7427609427609427) 
(3241, 0.7426900584795322) 
(2076, 0.7426470588235294) 
(751, 0.7424242424242424) 
(1364, 0.7424242424242424) 
(2445, 0.7420289855072464) 
(197, 0.7416666666666667) 
(281, 0.7416666666666667) 
(965, 0.7416666666666667) 
(3410, 0.7416666666666667) 
(1958, 0.7415329768270945) 
(2369, 0.7412203460064228) 
(2131, 0.7404501871506948) 
(1396, 0.740041928721174) 
(1764, 0.74) 
(1572, 0.7397563676633444) 
(2585, 0.7397435897435898) 
(3047, 0.7395918367346939) 
(1966, 0.7394260845913233) 
(2507, 0.7392039800995025) 
(669, 0.7379679144385026) 
(2172, 0.7378562176165803) 
(3265, 0.7375886524822695) 
(1457, 0.7371760973030143) 
(1733, 0.7368421052631579) 
(2404, 0.7367211973546816) 
(588, 0.7362637362637363) 
(765, 0.7362637362637363) 
(3634, 0.7359307359307359) 
(1895, 0.7357357357357357) 
(623, 0.7352941176470589) 
(664, 0.7352941176470589) 
(2947, 0.7352941176470589) 
(3040, 0.7349019607843137) 
(2589, 0.7341772151898734) 
(2633, 0.7341463414634146) 
(2240, 0.7339303482587065) 
(127, 0.7333333333333333) 
(219, 0.7333333333333333) 
(340, 0.7333333333333333) 
(365, 0.7333333333333333) 
(879, 0.7333333333333333) 
(1463, 0.7333333333333333) 
(1708, 0.7333333333333333) 
(2358, 0.7333333333333333) 
(2439, 0.7333333333333333) 
(2776, 0.7333333333333333) 
(2926, 0.7333333333333333) 
(3044, 0.7333333333333333) 
(3806, 0.7333333333333333) 
(3977, 0.7333333333333333) 
(3985, 0.7333333333333333) 
(2428, 0.7329291815927252) 
(809, 0.7320261437908496) 
(2078, 0.7320100453974693) 
(3169, 0.7316939890710382) 
(516, 0.7315789473684211) 
(684, 0.7315789473684211) 
(1812, 0.7315010570824524) 
(1957, 0.7314439946018894) 
(1751, 0.7314285714285714) 
(2309, 0.731130399472108) 
(3627, 0.7309941520467836) 
(17, 0.7307692307692307) 
(729, 0.7307692307692307) 
(3156, 0.7307692307692307) 
(2123, 0.7307223333170756) 
(1682, 0.7297297297297297) 
(1837, 0.7297297297297297) 
(1993, 0.7290152660586255) 
(1532, 0.728744939271255) 
(2052, 0.72848158131177) 
(2602, 0.7284520330205609) 
(975, 0.7281621243885394) 
(2643, 0.7276767676767677) 
(45, 0.7272727272727273) 
(723, 0.7272727272727273) 
(1315, 0.7272727272727273) 
(3446, 0.7272727272727273) 
(3940, 0.7272727272727273) 
(3318, 0.7263157894736842) 
(1102, 0.7262745098039216) 
(3867, 0.7261538461538461) 
(1859, 0.7256038647342995) 
(3414, 0.7254901960784313) 
(176, 0.7252747252747253) 
(693, 0.7252747252747253) 
(2218, 0.7252510760401721) 
(1198, 0.725242433147223) 
(1287, 0.7249417249417249) 
(2058, 0.7249122807017544) 
(3578, 0.7246376811594203) 
(3976, 0.7238095238095238) 
(1832, 0.7227053140096619) 
(564, 0.7222222222222222) 
(663, 0.7222222222222222) 
(2051, 0.7222222222222222) 
(3531, 0.7222222222222222) 
(3986, 0.7222222222222222) 
(2206, 0.7219867851446798) 
(807, 0.7210526315789474) 
(976, 0.7210144927536232) 
(223, 0.7207977207977208) 
(1310, 0.7207977207977208) 
(3243, 0.7207977207977208) 
(2627, 0.7207317073170731) 
(709, 0.7205882352941176) 
(3108, 0.7204301075268817) 
(1635, 0.7201426024955436) 
(297, 0.72) 
(3636, 0.72) 
(2135, 0.7199582027168234) 
(2000, 0.7196969696969697) 
(1907, 0.7195402298850575) 
(1913, 0.7192982456140351) 
(2314, 0.7192982456140351) 
(3493, 0.7192982456140351) 
(2639, 0.7192192192192193) 
(1174, 0.7189542483660131) 
(2917, 0.7189542483660131) 
(1542, 0.7185185185185186) 
(2198, 0.7185185185185186) 
(196, 0.717948717948718) 
(843, 0.717948717948718) 
(2524, 0.717948717948718) 
(2148, 0.7176029962546816) 
(2658, 0.7174603174603175) 
(3569, 0.7169230769230769) 
(1676, 0.7166666666666667) 
(3967, 0.7166666666666667) 
(2346, 0.7158730158730159) 
(1099, 0.7155844155844155) 
(238, 0.7154150197628458) 
(1903, 0.7153846153846154) 
(1914, 0.7150786308973173) 
(722, 0.7142857142857143) 
(767, 0.7142857142857143) 
(870, 0.7142857142857143) 
(1103, 0.7142857142857143) 
(1203, 0.7142857142857143) 
(1701, 0.7142857142857143) 
(1869, 0.7142857142857143) 
(2175, 0.7142857142857143) 
(3552, 0.7142857142857143) 
(3726, 0.7142857142857143) 
(3761, 0.7142857142857143) 
(3961, 0.7142857142857143) 
(3710, 0.7138461538461538) 
(2249, 0.7134502923976608) 
(3517, 0.7132352941176471) 
(2011, 0.7128205128205128) 
(760, 0.7126436781609196) 
(2324, 0.7124728063814358) 
(2248, 0.7124183006535948) 
(2935, 0.7121212121212122) 
(3654, 0.7121212121212122) 
(3064, 0.7118055555555556) 
(1948, 0.7114918656974731) 
(1292, 0.7111111111111111) 
(3099, 0.7111111111111111) 
(3425, 0.7111111111111111) 
(2582, 0.7106930693069307) 
(711, 0.7105263157894737) 
(3687, 0.7102272727272727) 
(614, 0.7096774193548387) 
(2196, 0.7095913261050876) 
(3609, 0.7094017094017094) 
(3200, 0.7090909090909091) 
(3863, 0.7090909090909091) 
(2684, 0.708994708994709) 
(2221, 0.7085365853658536) 
(737, 0.7083333333333334) 
(134, 0.7076023391812866) 
(3759, 0.7076023391812866) 
(3776, 0.7076023391812866) 
(3527, 0.7075098814229249) 
(2977, 0.7064393939393939) 
(3518, 0.7064393939393939) 
(2985, 0.7056497175141243) 
(3656, 0.7056277056277056) 
(474, 0.7052631578947368) 
(2508, 0.7052387965495477) 
(889, 0.7051282051282052) 
(2657, 0.7051282051282052) 
(144, 0.7047619047619048) 
(1144, 0.7047619047619048) 
(1710, 0.7047619047619048) 
(2402, 0.7047619047619048) 
(1983, 0.7041266940764428) 
(451, 0.7033333333333334) 
(2044, 0.7033333333333334) 
(2273, 0.7032967032967034) 
(2084, 0.7031408308004052) 
(2588, 0.7028083028083028) 
(3391, 0.7024673439767779) 
(2243, 0.7019286966686148) 
(2027, 0.7019027484143763) 
(2572, 0.7017543859649122) 
(1293, 0.7012411347517731) 
(3557, 0.7010752688172043) 
(3730, 0.701058201058201) 
(847, 0.7008547008547008) 
(683, 0.7007575757575758) 
(2410, 0.700060972749871) 
(152, 0.7) 
(193, 0.7) 
(245, 0.7) 
(284, 0.7) 
(371, 0.7) 
(562, 0.7) 
(866, 0.7) 
(1264, 0.7) 
(1417, 0.7) 
(1476, 0.7) 
(1711, 0.7) 
(3271, 0.7) 
(3305, 0.7) 
(3637, 0.7) 
(3795, 0.7) 
(3839, 0.7) 
(3381, 0.6995108315863033) 
(212, 0.6993464052287581) 
(2534, 0.6993464052287581) 
(983, 0.6991010047593865) 
(2134, 0.6988795518207283) 
(1033, 0.6985294117647058) 
(1478, 0.6985294117647058) 
(3907, 0.6984615384615385) 
(1548, 0.6984352773826458) 
(1841, 0.6981292517006803) 
(1940, 0.6979897148200094) 
(2647, 0.6976950354609929) 
(2028, 0.6975741239892184) 
(1404, 0.6971428571428572) 
(477, 0.696969696969697) 
(1638, 0.696969696969697) 
(1999, 0.696969696969697) 
(3509, 0.696969696969697) 
(2037, 0.6965317919075145) 
(2436, 0.6961793639899336) 
(2542, 0.6961276818419676) 
(489, 0.6956521739130435) 
(2533, 0.6953205524634096) 
(612, 0.6952380952380952) 
(1042, 0.6952380952380952) 
(1084, 0.6952380952380952) 
(1606, 0.6946236559139785) 
(1737, 0.694579681921454) 
(1036, 0.6944948578342408) 
(746, 0.6944444444444444) 
(1140, 0.6944444444444444) 
(1239, 0.6944444444444444) 
(1340, 0.6943164362519201) 
(2192, 0.6939024390243902) 
(1181, 0.693564862104188) 
(2225, 0.6933797909407665) 
(2560, 0.6933333333333334) 
(3239, 0.6932839767318879) 
(123, 0.6928104575163399) 
(1141, 0.6928104575163399) 
(3741, 0.6928104575163399) 
(3670, 0.6926406926406926) 
(1587, 0.6923076923076923) 
(2262, 0.6923076923076923) 
(2990, 0.6923076923076923) 
(3482, 0.6923076923076923) 
(3740, 0.6923076923076923) 
(3769, 0.6923076923076923) 
(1991, 0.6921768707482994) 
(1309, 0.6921373200442967) 
(3209, 0.6920289855072463) 
(3068, 0.6916666666666667) 
(2229, 0.6912433750762159) 
(2157, 0.6909581646423751) 
(168, 0.6909090909090909) 
(3141, 0.6909090909090909) 
(3994, 0.6909090909090909) 
(1410, 0.6904761904761905) 
(1524, 0.6902439024390243) 
(2583, 0.6898550724637681) 
(2907, 0.6895161290322581) 
(1082, 0.6892230576441103) 
(756, 0.6888888888888889) 
(2802, 0.6888888888888889) 
(3934, 0.6888888888888889) 
(1653, 0.6878933728248797) 
(1433, 0.6877470355731226) 
(1392, 0.6876876876876877) 
(1728, 0.6875) 
(1695, 0.6873563218390805) 
(2042, 0.687061403508772) 
(2499, 0.6870032725572698) 
(1112, 0.686932215234102) 
(2159, 0.6861702127659575) 
(1955, 0.6858576206402294) 
(20, 0.6857142857142857) 
(1234, 0.6857142857142857) 
(2039, 0.6854890604890604) 
(2475, 0.6844931271477663) 
(2061, 0.6843971631205674) 
(299, 0.6842105263157895) 
(457, 0.6842105263157895) 
(1931, 0.6842105263157895) 
(2019, 0.6842105263157895) 
(3845, 0.6842105263157895) 
(2285, 0.6841750841750842) 
(2208, 0.683982683982684) 
(2705, 0.6837606837606838) 
(634, 0.6833333333333333) 
(1324, 0.6833333333333333) 
(3297, 0.6825396825396826) 
(535, 0.6818181818181818) 
(1207, 0.6815336463223787) 
(3284, 0.6811594202898551) 
(387, 0.680952380952381) 
(625, 0.680952380952381) 
(1916, 0.6806231742940604) 
(2815, 0.6804511278195489) 
(3170, 0.68) 
(446, 0.6797385620915033) 
(772, 0.6797385620915033) 
(2280, 0.6797194623027469) 
(1874, 0.6794871794871795) 
(1278, 0.6793650793650794) 
(1578, 0.6793650793650794) 
(3500, 0.6789473684210526) 
(3538, 0.6789473684210526) 
(1257, 0.6787878787878788) 
(8, 0.6785714285714286) 
(60, 0.6785714285714286) 
(89, 0.6785714285714286) 
(91, 0.6785714285714286) 
(259, 0.6785714285714286) 
(319, 0.6785714285714286) 
(534, 0.6785714285714286) 
(1162, 0.6785714285714286) 
(3461, 0.6785714285714286) 
(3723, 0.6785714285714286) 
(462, 0.6783625730994152) 
(3623, 0.6783625730994152) 
(2057, 0.6782810685249709) 
(2351, 0.678231859883236) 
(2648, 0.6781914893617021) 
(1039, 0.6780626780626781) 
(2846, 0.6780626780626781) 
(2850, 0.678030303030303) 
(2006, 0.6779788838612368) 
(2246, 0.6777155655095185) 
(2991, 0.6775956284153005) 
(3013, 0.677536231884058) 
(2829, 0.6772486772486772) 
(2297, 0.6770981507823614) 
(413, 0.6764705882352942) 
(410, 0.6761904761904762) 
(569, 0.6761904761904762) 
(931, 0.6761904761904762) 
(2490, 0.6761904761904762) 
(1935, 0.6759183673469388) 
(949, 0.6758893280632411) 
(2338, 0.6751613999320422) 
(1116, 0.6748768472906403) 
(1281, 0.6743902439024391) 
(2547, 0.6743535988819007) 
(3142, 0.674025974025974) 
(1091, 0.6736842105263158) 
(1691, 0.6734463276836158) 
(3065, 0.6734397677793904) 
(3753, 0.6733333333333333) 
(2426, 0.673202614379085) 
(3698, 0.673202614379085) 
(1517, 0.6730158730158731) 
(999, 0.6729323308270677) 
(2265, 0.6727272727272727) 
(2861, 0.6727272727272727) 
(1698, 0.672514619883041) 
(3206, 0.672156862745098) 
(471, 0.6709677419354839) 
(2222, 0.6705314009661836) 
(105, 0.6703296703296703) 
(3315, 0.6703296703296703) 
(1647, 0.6702040816326531) 
(1380, 0.6700280112044817) 
(512, 0.6699507389162561) 
(3247, 0.66993006993007) 
(1454, 0.669683257918552) 
(2494, 0.6693657219973009) 
(1195, 0.66921768707483) 
(1877, 0.6691468253968254) 
(3194, 0.6691176470588235) 
(2526, 0.6689997244419951) 
(2611, 0.6688710660850804) 
(403, 0.6684210526315789) 
(3462, 0.6684210526315789) 
(1180, 0.6676767676767676) 
(1129, 0.6672316384180791) 
(16, 0.6666666666666666) 
(61, 0.6666666666666666) 
(81, 0.6666666666666666) 
(94, 0.6666666666666666) 
(97, 0.6666666666666666) 
(125, 0.6666666666666666) 
(155, 0.6666666666666666) 
(157, 0.6666666666666666) 
(164, 0.6666666666666666) 
(166, 0.6666666666666666) 
(179, 0.6666666666666666) 
(182, 0.6666666666666666) 
(202, 0.6666666666666666) 
(240, 0.6666666666666666) 
(247, 0.6666666666666666) 
(253, 0.6666666666666666) 
(294, 0.6666666666666666) 
(301, 0.6666666666666666) 
(307, 0.6666666666666666) 
(326, 0.6666666666666666) 
(338, 0.6666666666666666) 
(356, 0.6666666666666666) 
(383, 0.6666666666666666) 
(386, 0.6666666666666666) 
(406, 0.6666666666666666) 
(411, 0.6666666666666666) 
(442, 0.6666666666666666) 
(470, 0.6666666666666666) 
(488, 0.6666666666666666) 
(518, 0.6666666666666666) 
(530, 0.6666666666666666) 
(666, 0.6666666666666666) 
(776, 0.6666666666666666) 
(779, 0.6666666666666666) 
(788, 0.6666666666666666) 
(796, 0.6666666666666666) 
(816, 0.6666666666666666) 
 
